instance_id,rule,m0_alone,pi0_alone,m1_alone,oracle,rule_sup,m0_sup,pi0_sup,m1_sup
c09_storm2_w80_u100_0020,2113.920800,1661.462800,,1710.145200,1660.290800,1974.308800,1626.413200,,1692.667600
c09_storm2_w80_u100_0021,2468.501600,2134.424800,,2183.984800,2178.691200,2425.110000,2147.741600,,2191.363200
c09_storm2_w80_u100_0022,1216.011200,1087.850800,,1064.527200,991.862400,1099.216000,1084.642000,,1006.348400
c09_storm2_w80_u100_0023,5676.362400,2753.950400,,4015.325600,2621.206400,4018.612400,2580.492000,,4018.633600
c09_storm2_w80_u100_0024,4396.206800,2067.040400,,2304.558000,1996.894800,2834.593600,1979.163200,,2310.901200
c09_storm2_w80_u100_0025,6411.756400,2868.082400,,3427.915200,2533.840800,4054.931600,2546.667600,,3401.400800
c09_storm2_w80_u100_0026,5006.202000,2334.327600,,5451.731200,1938.243600,4109.313600,2205.308800,,4367.109600
c09_storm2_w80_u100_0027,2535.368000,1707.731200,,1682.693600,1685.882800,2061.197200,1677.258800,,1682.621200
c09_storm2_w80_u100_0028,2083.722400,1301.924000,,1304.258400,1316.495200,2021.848800,1301.924000,,1312.477600
c09_storm2_w80_u100_0029,4540.255600,1491.436400,,2287.836800,1226.778800,2328.602400,1264.892400,,2284.544000
